# t (s)	mx ()	my ()	mz ()	Ku1.region100 (J/m3)	Dind.region100 (J/m2)
1.1581502167589529e-07	-8.129285e-09	-4.8533044e-09	0.90554506	801653.25	0.0031248059
1.1582000907331141e-07	4.5348063e-09	-5.8239653e-09	0.9067369	801627.3	0.0031216769
1.1582502241272692e-07	3.4276462e-09	2.9119827e-09	0.9093215	801575.25	0.0031185127
1.1583001033368656e-07	-1.5166576e-10	2.9119827e-09	0.9128092	801498.9	0.0031153455
1.1583502391515817e-07	-5.4296345e-09	1.9413218e-09	0.9168545	801398.3	0.0031121443
1.1584001188730628e-07	-2.578318e-09	-4.367974e-09	0.9209027	801276.2	0.0031089417
1.1584502513834588e-07	2.5631515e-09	-4.367974e-09	0.9242815	801133.3	0.0031057051
1.1585001245588721e-07	7.188957e-09	3.8826435e-09	0.9265375	800973.3	0.003102469
1.1585502523549897e-07	-2.4418187e-09	9.706609e-09	0.92749566	800797.2	0.0030992003
1.1586001259560647e-07	-6.9007924e-09	-3.8826435e-09	0.9269729	800609.4	0.0030959316
1.1586500019812674e-07	4.4893067e-09	-5.8239653e-09	0.9251509	800412.06	0.0030926492
1.1587001377065491e-07	4.9139706e-09	4.8533044e-09	0.9225165	800207	0.003089334
1.1587500227045492e-07	-4.2769743e-09	6.794626e-09	0.9195505	799999.8	0.0030860214
1.1588001625695518e-07	-7.643955e-09	-1.9413218e-09	0.91672814	799791.7	0.0030826782
1.1588500441464234e-07	3.791644e-09	-9.221278e-09	0.9147078	799587.8	0.0030793396
1.1589001788480422e-07	8.220284e-09	2.9119827e-09	0.9138259	799389.4	0.0030759713
1.1589500542839448e-07	-2.654151e-09	4.8533044e-09	0.9141876	799201.7	0.0030726085
1.159000184746904e-07	-5.8239653e-09	0	0.9158697	799025.6	0.003069217
1.159050061651621e-07	-4.079809e-09	-1.1405265e-08	0.9186487	798865.7	0.0030658315
1.1591001970033997e-07	1.3194922e-08	-5.8239653e-09	0.9220484	798723	0.0030624182
1.1591500771665205e-07	4.1253085e-09	1.26185915e-08	0.9255724	798601.1	0.0030590123
1.1592002128069653e-07	-1.7244398e-08	2.4266522e-09	0.9287806	798500.6	0.00305558
1.1592500923440855e-07	-2.2749864e-10	-1.5045243e-08	0.9310822	798424.25	0.0030521562
1.1593002238643449e-07	1.4013916e-08	1.9413218e-09	0.9321872	798372.56	0.0030487066
1.1593500972604609e-07	-1.6986565e-09	1.3589252e-08	0.93207246	798346.6	0.0030452677
1.1594002285157278e-07	-1.5530574e-08	-4.8533044e-10	0.9308032	798346.75	0.0030418036
1.1594501070724613e-07	3.0333152e-09	-1.9413218e-08	0.92869204	798372.75	0.00303835
1.1595002448444604e-07	1.4923911e-08	3.397313e-09	0.92628455	798424.6	0.0030348727
1.1595501309017014e-07	-4.944304e-09	1.3589252e-08	0.9241035	798501.25	0.003031408
1.1596000162095331e-07	-7.2496236e-09	-6.794626e-09	0.9225499	798601.25	0.0030279374
1.1596501534311553e-07	1.1829929e-09	-5.338635e-09	0.9220414	798723.8	0.0030244451
1.1597000329148555e-07	3.5641454e-09	-4.8533044e-10	0.92276084	798866.2	0.0030209671
1.1597501645097695e-07	2.8285665e-09	9.706609e-10	0.92458665	799026.8	0.0030174677
1.1598000385421994e-07	-3.4579795e-09	7.765287e-09	0.9272876	799202.2	0.0030139836
1.1598501700044992e-07	-6.3851284e-09	-1.9413218e-09	0.9305212	799390.8	0.00301048
1.1599000478835928e-07	2.578318e-09	-1.067727e-08	0.93367636	799588.2	0.0030069924
1.1599501822492543e-07	1.0313272e-08	5.338635e-09	0.93629295	799793.1	0.003003485
1.1600000000000108e-07	-5.4599676e-09	9.221278e-09	0.93800783	800000	0.0029999998
1.1600501574698776e-07	-9.57011e-09	-6.794626e-09	0.93854505	801594.25	0.003003677
1.1601000330371222e-07	7.643955e-09	-9.706609e-09	0.9378511	803154.6	0.003007333
1.16015016384053e-07	7.916952e-09	6.794626e-09	0.9361747	804672.8	0.0030110062
1.1602000403483157e-07	-6.0666303e-09	9.706609e-09	0.93390745	806110	0.003014659
1.1602501747423337e-07	-6.218296e-09	-6.794626e-09	0.93143314	807457.94	0.0030183292
1.1603000543069794e-07	7.4316224e-09	-4.367974e-09	0.9293661	808681.7	0.003021977
