# t (s)	mx ()	my ()	mz ()	Ku1.region100 (J/m3)
1.1085252481823596e-07	-4.043245e-08	-6.074359e-09	0.69133085	780821.1
1.1085500817701674e-07	-2.249411e-08	-3.3408973e-08	0.7025703	782746.06
1.1085751683106942e-07	-1.8982371e-09	-3.0371794e-08	0.7149323	784758.75
1.1086002547659223e-07	1.8507812e-08	-1.5185897e-08	0.72791713	786831.94
1.1086250867251264e-07	2.3917787e-08	-9.111538e-09	0.7408787	788935.8
1.1086501738718711e-07	1.6229928e-08	0	0.7538632	791105.06
1.1086752555951618e-07	1.02504805e-08	1.2148718e-08	0.76671547	793309.1
1.1087000801215821e-07	1.0440304e-08	2.1260256e-08	0.7791284	795516.7
1.1087251626988223e-07	3.6066505e-09	2.7334615e-08	0.7909911	797764.94
1.1087502417252413e-07	-1.409441e-08	1.5185897e-08	0.8017924	800021.7
1.1087750641554007e-07	-2.7904086e-08	1.0630128e-08	0.8111937	802255.44
1.1088001409876046e-07	-2.8758292e-08	-1.2148718e-08	0.8191732	804503.06
1.1088252157763652e-07	-7.388295e-09	-2.7334615e-08	0.82559663	806732.75
1.1088500324842962e-07	1.5601136e-08	-3.0371794e-08	0.8304955	808913
1.1088751024629499e-07	2.890066e-08	-7.5929485e-09	0.83389837	811080.4
1.1089001719958692e-07	2.5104185e-08	1.8223076e-08	0.8355438	813203.7
1.1089252406342622e-07	2.5626201e-09	3.3408973e-08	0.8353267	815274.6
1.1089500530655757e-07	-1.8982371e-08	1.9741666e-08	0.83349144	817264.7
1.108975121382156e-07	-2.3727964e-08	3.0371794e-09	0.8302762	819207.1
1.1090001878048157e-07	-1.1009775e-08	-9.111538e-09	0.82590723	821073
1.1090252516203406e-07	6.454006e-09	-1.2148718e-08	0.82057405	822855.3
1.1090500599900208e-07	6.454006e-09	-6.074359e-09	0.81449217	824530.2
1.1090751249732467e-07	2.657532e-09	9.111538e-09	0.8076939	826125.44
1.1091001899066237e-07	-1.8982371e-09	1.2148718e-08	0.80049133	827617.1
1.1091252539022566e-07	1.1389423e-09	3.0371794e-09	0.793356	828999.2
1.1091500622433314e-07	8.162419e-09	0	0.786744	830253.94
1.1091751266329545e-07	5.1252402e-09	7.5929485e-09	0.78064185	831402.2
